,AREA,PERIMETER,PARKS_,PARKS_ID,NAME,TYPE,DPWDIV,ZONE,HOOD_NO,HOOD,ACRES,SQMILES,ADDRESS,CODE,ALT_NAME,PW,TITLE,ID,Shape_Leng,ClassCode,Shape_Le_1,Shape_Area,X,Y
77,6726.71,345.244,85,89,Crescent,School,2,Northeast,28,East Hills,0.154423935,0.000241287,NA,misc,NA,n,Crescent School,141,345.2436547,0,345.2436547,6726.706615,-79.88079849,40.45395829
78,154850,1580.62,86,90,Fairywood,Playground,5,Western,32,Fairywood,3.554862098,0.005554472,NA,play,NA,n,Fairywood Playground,142,1580.617866,0,1580.617866,154849.793,-80.0804927,40.4490034
79,29269,744.325,87,91,Mellon Park,Island,3,Eastern,63,Point Breeze,0.671923889,0.001049881,NA,gspc,NA,n,Mellon Park Island,143,744.325083,0,744.325083,29269.00462,-79.91532885,40.45237433
80,68157.3,1142.21,88,92,Vincennes,Parklet,3,Central,51,Middle Hill,1.564675263,0.002444805,NA,park,NA,n,Vincennes Parklet,144,1142.213995,0,1142.213995,68157.25447,-79.9673478,40.4510397
81,352035,2493.41,89,93,Ammon,Playground,3,Central,7,Bedford Dwellings,8.081600843,0.012627501,NA,play,NA,n,Ammon Playground,145,2493.407401,0,2493.407401,352034.5327,-79.97824652,40.44952617
82,36938.6,779.55,90,94,Herron Hill,Tennis Courts,3,Central,85,Upper Hill,0.847993341,0.00132499,NA,misc,NA,n,Herron Hill Tennis Courts,146,779.5499428,0,779.5499428,36938.58993,-79.96111581,40.45020049
83,96393,1579.93,91,95,Allegheny Landing,Park,6,State,57,North Shore,2.21287879,0.003457623,NA,park,NA,n,Allegheny Landing Park,147,1579.933701,0,1579.933701,96393.0001,-80.0029073,40.44718412
84,48489.7,1313.83,92,96,Cliffside,Parklet,3,Central,24,Crawford-Roberts,1.113171383,0.00173933,NA,park,NA,n,Cliffside Parklet,148,1313.832644,0,1313.832644,48489.74545,-79.98551635,40.44691689
85,313.866,69.9524,93,97,Glen Arden,Triangle,3,Eastern,63,Point Breeze,0.007205365,1.13E-05,NA,gspc,NA,y,Glen Arden Triangle,151,69.95243577,0,69.95243577,313.865686,-79.91187041,40.44825576
86,72.0472,30.2251,94,98,Edgerton,Circle,3,Eastern,63,Point Breeze,0.001653976,2.58E-06,NA,gspc,NA,y,Edgerton Circle,153,30.2251192,0,30.2251192,72.04720191,-79.91316708,40.44788393
87,5424.56,541.816,95,99,Le Roi Rd,Island,3,Eastern,63,Point Breeze,0.124530786,0.000194579,NA,gspc,NA,n,Le Roi Rd Island,155,541.8156915,0,541.8156915,5424.561042,-79.9040743,40.44766271
88,51595.8,3789.71,97,101,Allegheny Riverfront,Park,6,State,17,Central Business District,1.184475903,0.001850744,NA,park,NA,n,Allegheny Riverfront Park,157,3789.706844,0,3789.706844,51595.77034,-80.00241592,40.44459085
89,46.5843,24.3164,98,102,Glen Arden,Circle,3,Eastern,63,Point Breeze,0.001069429,1.67E-06,NA,gspc,NA,y,Glen Arden Circle,159,24.31637699,0,24.31637699,46.58433631,-79.91312808,40.44713999
90,9115.82,463.385,99,103,Sterrett,School,3,Eastern,63,Point Breeze,0.209270451,0.000326985,NA,misc,NA,n,Sterrett School,163,463.3846429,0,463.3846429,9115.820865,-79.90472632,40.44614467
91,1651.98,144.681,100,104,Reynolds St,Planting Circle,3,NA,63,Point Breeze,0.037924145,5.93E-05,NA,gcpc,NA,n,Reynolds St Planting Circle,168,144.680592,0,144.680592,1651.975758,-79.90325173,40.44644691
92,28019,699.571,101,105,Granville,Parklet,3,Central,24,Crawford-Roberts,0.643227837,0.001005043,NA,park,NA,n,Granville Parklet,173,699.5710733,0,699.5710733,28019.0046,-79.98288845,40.44440558
93,98173.4,1463.38,102,106,Townsend,Parklet,5,Western,30,Elliott,2.253751165,0.003521486,NA,park,NA,n,Townsend Parklet,174,1463.381285,0,1463.381285,98173.40073,-80.0400011,40.44264922
94,7003.45,348.564,103,107,Linden,School,3,Eastern,63,Point Breeze,0.160777043,0.000251214,NA,misc,NA,n,Linden School,176,348.5638821,0,348.5638821,7003.44798,-79.91601442,40.4449713
